Lemma;Wordlist;Rank;SFI;U;D;F;Rank;Coverage;Cumulative
the;1 - NGSL;1;87.84687867313960000000;60,909.89731046030000000000;0.9914;17,014,852;1;0.0622;0.06218571044808040000
be;1 - NGSL;2;86.86413934824280000000;48,575.12589103400000000000;0.9924;13,558,284;2;0.0496;0.11173839083559400000
and;1 - NGSL;3;84.88393839629950000000;30,788.87636099670000000000;0.9983;8,548,938;3;0.0312;0.14298296370091100000
of;1 - NGSL;4;84.78940925862030000000;30,125.96213248860000000000;0.9790;8,508,792;4;0.0311;0.17408081136805200000
to;1 - NGSL;5;84.66452071309710000000;29,271.97808321510000000000;0.9969;8,137,313;5;0.0297;0.20382098131154600000
a;1 - NGSL;6;84.45166291231250000000;27,871.88177883500000000000;0.9981;7,740,201;6;0.0283;0.23210979030006600000
in;1 - NGSL;7;83.25155909803050000000;21,142.47909285240000000000;0.9900;5,913,485;7;0.0216;0.25372233597187500000
have;1 - NGSL;8;81.52580482918810000000;14,209.55518189290000000000;0.9873;3,983,887;8;0.0146;0.26828260622517300000
it;1 - NGSL;9;81.39000794604450000000;13,772.11988699790000000000;0.9723;3,913,531;10;0.0143;0.29689880033492800000
you;1 - NGSL;10;81.07544594592840000000;12,809.86623133770000000000;0.8942;3,916,247;9;0.0143;0.28259566648483100000
he;1 - NGSL;11;80.42067700080160000000;11,017.11036596410000000000;0.9213;3,280,236;11;0.0120;0.30888737397032400000
for;1 - NGSL;12;80.01086973082690000000;10,025.05982755510000000000;0.9917;2,799,664;12;0.0102;0.31911955787976500000
they;1 - NGSL;13;79.89619458087170000000;9,763.81311294715000000000;0.9824;2,749,438;13;0.0100;0.32916817630812100000
not;1 - NGSL;14;79.77430531287730000000;9,493.59129828019000000000;0.9694;2,704,977;14;0.0099;0.33905429911957500000
that;1 - NGSL;15;79.37159111994300000000;8,652.84874183742000000000;0.9489;2,512,327;15;0.0092;0.34823632664311100000
we;1 - NGSL;16;79.24316438924380000000;8,400.71863080795000000000;0.9335;2,474,047;16;0.0090;0.35727844880655600000
on;1 - NGSL;17;78.90030652690340000000;7,763.01906415809000000000;0.9989;2,154,241;18;0.0079;0.37376298790833900000
with;1 - NGSL;18;78.68144060712380000000;7,381.49042454464000000000;0.9954;2,054,699;19;0.0075;0.38127248120701500000
this;1 - NGSL;19;78.45254993032300000000;7,002.53024094164000000000;0.9882;1,961,813;21;0.0072;0.39587949987883300000
I;1 - NGSL;20;78.33784158902430000000;6,819.99661187899000000000;0.7845;2,356,152;17;0.0086;0.36588968950636800000
do;1 - NGSL;21;78.32653503677930000000;6,802.26432142155000000000;0.9172;2,034,865;20;0.0074;0.38870948540140600000
as;1 - NGSL;22;78.29098048751450000000;6,746.80330110089000000000;0.9898;1,887,266;22;0.0069;0.40277706072829000000
at;1 - NGSL;23;77.45877671270780000000;5,570.28827237139000000000;0.9976;1,547,509;24;0.0057;0.41487600902081100000
she;1 - NGSL;24;77.15546605631820000000;5,194.53414845329000000000;0.7893;1,762,927;23;0.0064;0.40922018864754000000
but;1 - NGSL;25;77.06462320155770000000;5,087.00682325892000000000;0.9788;1,437,156;25;0.0053;0.42012851235641000000
from;1 - NGSL;26;76.62606269419160000000;4,598.39494905764000000000;0.9887;1,287,586;26;0.0047;0.42483436875604300000
by;1 - NGSL;27;76.35740254073790000000;4,322.55227434556000000000;0.9468;1,257,064;27;0.0046;0.42942867365618000000
will;1 - NGSL;28;76.22734259251250000000;4,195.02215943052000000000;0.9698;1,194,811;28;0.0044;0.43379545691625000000
or;1 - NGSL;29;76.08532109734440000000;4,060.05680332591000000000;0.9791;1,146,749;29;0.0042;0.43798658366073400000
say;1 - NGSL;30;75.34666738954350000000;3,425.04860493719000000000;0.9155;1,026,072;30;0.0038;0.44173666131588400000
go;1 - NGSL;31;75.13253285464680000000;3,260.26788084555000000000;0.8945;996,671;31;0.0036;0.44537928449109500000
so;1 - NGSL;32;75.08761541106560000000;3,226.72193290666000000000;0.9269;956,280;32;0.0035;0.44887428704458800000
all;1 - NGSL;33;75.01678810462840000000;3,174.52543043204000000000;0.9873;890,072;33;0.0033;0.45212731326367800000
if;1 - NGSL;34;74.78384129822770000000;3,008.73632808964000000000;0.9821;847,511;35;0.0031;0.45836047715388200000
one;1 - NGSL;35;74.76704322372410000000;2,997.12131539897000000000;0.9835;843,143;36;0.0031;0.46144198773442300000
would;1 - NGSL;36;74.76652725964240000000;2,996.76526319132000000000;0.9870;840,505;37;0.0031;0.46451385697901900000
about;1 - NGSL;37;74.72340725230480000000;2,967.15835723201000000000;0.9533;857,967;34;0.0031;0.45526300245074900000
can;1 - NGSL;38;74.60825792830520000000;2,889.52058563131000000000;0.9719;821,331;41;0.0030;0.47657210187563300000
which;1 - NGSL;39;74.60339179083580000000;2,886.28477892285000000000;0.9686;822,883;40;0.0030;0.47357030957394100000
there;1 - NGSL;40;74.50204864416300000000;2,819.71272614169000000000;0.9433;822,944;39;0.0030;0.47056284503821400000
know;1 - NGSL;41;74.20544952833000000000;2,633.57052445692000000000;0.8617;832,141;38;0.0030;0.46755515756029800000
more;1 - NGSL;42;74.20181544597690000000;2,631.36773131930000000000;0.9911;735,238;45;0.0027;0.48770054992966800000
get;1 - NGSL;43;74.10355899060540000000;2,572.50305426135000000000;0.8769;800,432;42;0.0029;0.47949751272172100000
who;1 - NGSL;44;74.03856768959240000000;2,534.29267872575000000000;0.9843;712,432;46;0.0026;0.49030433925830600000
like;1 - NGSL;45;73.91764149354570000000;2,464.70047824834000000000;0.9017;747,962;44;0.0027;0.48501340946095200000
when;1 - NGSL;46;73.86415089162540000000;2,434.52976772156000000000;0.9899;681,011;47;0.0025;0.49279329143126400000
