[blockSize]  [Walltime]
4.0 1591.0 54.6882071383
8.0 1573.6 46.5213929284
12.0 1607.8 24.5796663932
16.0 1885.8 166.720604605
20.0 1978.6 178.406950537
24.0 1997.0 154.025971836
28.0 1981.6 29.2889057494
32.0 2034.6 16.5239220526
36.0 2244.0 198.179716419
40.0 2205.8 57.6555287895
44.0 2238.8 36.3945050798
48.0 2256.6 18.7787113509
52.0 2336.2 99.4372163729
56.0 2342.8 26.354506256
60.0 2414.4 67.9134743626
64.0 2400.6 45.5833302864
68.0 2556.0 181.673333211
72.0 2331.4 18.2164760588
76.0 2235.8 11.7541482039
80.0 2234.8 38.2382007945
84.0 2199.0 6.06630035524
88.0 2156.6 20.1950488982
92.0 2102.8 29.9693176432
96.0 2107.6 19.8454024902
