[blockSize]  [Walltime]
128.0 7938.0 42.6567696855
256.0 7520.6 92.5172416364
384.0 7386.0 255.796012479
512.0 7206.6 49.8982965641
640.0 7163.2 51.2499756098
768.0 7082.8 63.7476274068
896.0 7078.8 44.7320913886
1024.0 7033.4 58.445187997
1152.0 7024.2 64.1791243318
1280.0 6975.2 57.4713841838
1408.0 7009.2 58.8197245828
1536.0 6955.0 84.6286003665
1664.0 6926.4 119.194966337
1792.0 7095.2 73.8495768437
1920.0 6932.8 70.6240752152
2048.0 7420.8 697.010301215
2176.0 7774.8 776.957244641
2304.0 7197.2 173.557368037
2432.0 7128.2 41.37342142
2560.0 8592.6 1487.00593139
2688.0 8670.2 1860.27937687
2816.0 7100.2 89.771710466
2944.0 7439.8 535.172645041
3072.0 7185.2 116.085141168
3200.0 7443.0 501.731800866
3328.0 7504.0 226.894689228
3456.0 7285.4 159.741791651
3584.0 7320.6 161.812978466
3712.0 7363.0 255.25438292
3840.0 7283.8 214.298296773
3968.0 7267.0 41.3908202383
4096.0 7326.8 75.5973544511
4224.0 7355.8 246.782009069
4352.0 7446.0 308.281040611
4480.0 7323.8 101.92821003
4608.0 7456.4 71.1887631582
4736.0 7445.6 93.4507356846
4864.0 7447.6 67.9075842598
4992.0 7449.4 41.6682133046
5120.0 7503.0 66.1301746557
