[blockSize]  [Walltime]  [WalltimeErr]
128.0 11363.6 193.281763237
256.0 10536.6 160.148181382
384.0 9998.8 147.799052771
512.0 9587.6 143.180445592
640.0 9434.6 151.503927342
768.0 9264.4 79.4546411483
896.0 9100.8 102.267101259
1024.0 9024.6 119.231874933
1152.0 9005.4 129.723706392
1280.0 9027.8 69.7779334747
1408.0 8913.8 108.182068754
1536.0 8868.6 112.412810658
1664.0 8822.0 74.6940426005
1792.0 8762.4 105.7442197
1920.0 8914.2 95.2205860095
2048.0 8816.6 148.268135484
2176.0 8872.4 123.968705729
2304.0 8933.0 119.804841305
2432.0 8972.8 119.369007703
2560.0 8912.6 85.5584011071
2688.0 8982.6 153.120344827
2816.0 9095.0 97.9938773598
2944.0 9045.0 117.280859478
3072.0 8856.0 118.734999053
3200.0 8930.2 143.534525463
3328.0 8978.8 118.27662491
3456.0 8980.6 176.844112144
3584.0 8992.6 89.3299501847
3712.0 9093.0 96.3742704253
3840.0 8986.4 144.736450143
3968.0 9155.0 130.936625892
4096.0 9082.6 132.623678127
4224.0 9118.8 85.6023364167
4352.0 9102.4 158.301737198
4480.0 9260.6 100.913031864
4608.0 9253.4 140.987375321
4736.0 9367.2 112.536927273
4864.0 9432.4 42.6455155907
4992.0 9442.6 106.841190559
5120.0 9393.0 147.377067416
