[blockSize]  [Walltime]  [WalltimeErr]
4.0 1500.6 50.6501727539
8.0 1452.0 121.564797536
12.0 1317.8 40.823522631
16.0 1362.4 100.511889844
20.0 1471.8 162.478798617
24.0 1317.0 130.870928781
28.0 1378.4 98.733175782
32.0 1264.0 35.8050275799
36.0 1338.8 104.753806613
40.0 1329.0 114.990434385
44.0 1296.2 54.5908417228
48.0 1402.8 202.14094093
52.0 1236.0 18.6440338983
56.0 1271.8 77.3573525917
60.0 1326.4 143.669899422
64.0 1280.6 81.1285399844
68.0 1264.4 92.7762900746
72.0 1330.6 52.9777311707
76.0 1358.4 156.180152388
80.0 1275.0 22.3785611691
84.0 1280.4 25.4998039208
88.0 1304.8 69.3697340344
92.0 1264.8 45.9277693776
96.0 1246.8 17.8818343578
100.0 1293.4 52.3434809695
104.0 1289.0 36.7641129364
108.0 1385.0 158.748858264
112.0 1284.8 16.916264363
116.0 1281.4 20.5387438759
120.0 1325.2 27.2572926022
124.0 1362.6 71.9294098405
128.0 1289.8 49.8493731154
