#[Skew] [Walltime] [WalltimeErr] [L1CM] [L1CMErr] [L2CM] [L2CMErr] [L3CM] [L3CMErr] [BM] [BMErr] [BMExe] [BMExeErr] [BMRate] [BMRateErr] [TLBM] [TLBMErr] [L2CH] [L2CHErr] [L2CHRate] [L2CHRateErr]
0.00   0.00
0.00   0.00
2.0 1358.0 133.681711539 50144.8 627.97146432 40360.8 162.982698468 39596.6 407.852228142 7252.0 117.301321391 82366.0 0.0 0.0880460384139 0.00142414735923 8105.2 346.388452463 9152.8 190.499763779 0.18485426226329732 0.0212013940816 
2.2 1247.6 24.2701462707 48725.0 195.343799492 39946.6 60.9412832159 39564.0 114.750163399 7347.4 99.0668461192 83072.0 0.0 0.0884461671803 0.00119254196503 7850.2 180.387804466 8917.0 82.745392621 0.1824875776651741 0.00940407729678 
2.4 1275.0 60.7519547011 48712.2 245.613843258 39601.8 91.1556909907 39442.8 76.0089468418 7311.2 73.1721258404 83766.0 0.0 0.0872812358236 0.000873530141589 6598.2 143.48992996 9746.8 1690.26132891 0.19750914919572182 0.173432328212 
2.6 1259.2 30.837639339 49327.8 129.946758328 40205.0 95.9729128452 39871.4 28.8624323299 7289.4 134.805934587 85143.0 0.0 0.0856136147423 0.00158328852152 7168.4 206.662623616 9273.8 29.3148426569 0.1874297679005958 0.00396110601298 
2.8 1328.2 41.2669359173 51117.6 197.498962023 41425.4 178.725040215 41036.6 202.905495243 7230.2 140.001999986 86670.0 0.0 0.0834221760702 0.00161534556347 8410.6 158.22970644 9673.2 65.4687711814 0.18930459934323052 0.00802623816265 
3.0 1298.0 25.3061257406 51092.6 158.857923945 41277.0 78.5289755441 40854.2 111.447566147 7004.8 126.173531297 88357.0 0.0 0.0792783820184 0.00142799700417 8109.4 164.508480025 9989.8 123.916746245 0.1948590510817917 0.0125493740029 
3.2 1332.0 8.83176086633 51949.0 172.889560124 41764.4 161.826573838 41417.6 196.760361862 6943.0 86.1742420912 90325.0 0.0 0.0768668696374 0.000954046411196 7704.4 303.644265548 10524.6 551.252972781 0.2012775153473962 0.0525206960709 
3.4 1324.0 23.9749869656 52671.0 158.935206924 41834.4 154.700484809 41640.6 74.9042054894 6907.0 114.345091718 92074.0 0.0 0.0750157482025 0.00124188252621 7570.2 158.245884623 10893.4 104.788548993 0.20659689954824587 0.0103057521192 
3.6 1338.6 22.2584815295 54355.4 218.471599985 42501.8 88.3954749973 42131.8 112.321680899 6641.4 104.628103299 94796.0 0.0 0.07005991814 0.00110371854613 7924.2 200.183315988 11797.4 113.049723573 0.21726655273005863 0.00980569965653 
3.8 1386.2 18.432579852 55260.6 107.962215613 43283.4 156.769384766 42988.2 101.594094317 6665.0 91.4177225706 96124.0 0.0 0.0693375223669 0.000951039517401 8544.0 399.602302296 12046.2 127.205974702 0.21771709898499175 0.0111637198298 
4.0 1409.2 21.9125534797 55643.6 187.004384975 43067.6 100.392429994 42711.2 69.3293588604 6496.4 80.6761426941 98264.0 0.0 0.0661116990963 0.000821014234044 7975.4 167.353040008 12494.6 110.660923546 0.22487590484178094 0.00915832387712 
4.2 1419.8 20.6630104293 57096.2 177.167039824 44029.0 291.132272344 43528.6 186.071599122 6369.4 109.344592916 100863.0 0.0 0.0631490239235 0.00108409023047 8154.0 190.106286061 13248.0 75.9236458556 0.2312970302215549 0.00875020634976 
4.4 1465.0 12.3288280059 58397.8 224.358998037 44790.2 111.592831311 44317.2 88.5198282872 6369.0 64.479454092 102710.0 0.0 0.0620095414273 0.000627781657988 9343.2 610.99800327 13793.0 64.8783476978 0.23544292561690042 0.00532280888836 
4.6 1477.2 21.5257984753 58959.6 321.821441175 44872.4 101.320481641 44573.0 276.834246436 6439.2 101.434510892 103837.0 0.0 0.062012577405 0.000976862880211 9105.8 410.529121988 14233.0 180.922082676 0.24080710053565324 0.0129104380613 
4.8 1522.6 23.3974357569 60833.8 275.95173491 45810.6 190.861834844 45572.0 227.211795468 6240.4 93.1205670086 107009.0 0.0 0.0583165901933 0.000870212477535 9703.0 282.297006715 15029.2 95.2373876164 0.24702908293584133 0.00758377172422 
5.0 1543.0 15.2446712001 62695.8 187.607462538 46285.0 67.6727419276 45847.2 257.57127169 6191.0 146.631510938 108644.0 0.0 0.0569842789293 0.00134965125491 10498.4 211.794806357 16208.6 83.6028707641 0.25936415888987036 0.00536115405193 
5.2 1558.8 21.4513402845 63335.4 270.417898816 47039.0 115.434830099 46806.2 97.9579501623 6157.8 188.628099709 111884.0 0.0 0.055037360123 0.00168592559892 8973.8 239.785237244 16299.8 102.795719755 0.2573430503893348 0.00676719834097 
5.4 1585.8 33.4687914332 64132.6 316.146548297 47048.4 152.561594119 46554.0 124.930380613 6113.4 116.527421665 112856.0 0.0 0.0541699156447 0.00103253191381 9649.2 347.327741478 16857.8 97.4502950226 0.26378974184038484 0.00662808923066 
5.6 1617.2 22.7279563534 65199.6 270.726134682 47558.6 315.318632497 47105.2 117.2815416 6089.4 77.1300200959 115508.0 0.0 0.0527184264293 0.000667746130969 9979.0 524.017175291 17588.2 170.260271349 0.26997795747450376 0.011733195465 
5.8 1653.2 25.8487910742 66902.6 46.6501875666 48263.0 80.8727395356 47901.0 121.783414306 5892.6 82.9037996717 118199.0 0.0 0.0498532136482 0.000701391717964 9762.8 336.883600076 18498.4 89.4887702452 0.27708226609987213 0.00511963977548 
6.0 1658.8 22.7103500634 66606.4 404.389713024 48124.0 176.157883729 47794.2 220.161213659 5880.2 45.6788791456 119515.0 0.0 0.0492005187633 0.000382202059537 9875.6 199.37060967 18776.6 80.5272624643 0.28066414949940655 0.00563846004472 
