#[Skew] [Walltime] [WalltimeErr] [L1CM] [L1CMErr] [BM] [BMErr] [BMRate] [BMRateErr]
0.00   0.00
0.00   0.00
2.0 6647.8 63.5779836107 227272.8 473.100158529 373448.0 821.543182067 0.150836400296 0.000331822947962 
2.2 6666.8 62.3743537041 222289.4 601.64860176 376585.6 585.695005954 0.150375173651 0.00023387508239 
2.4 6639.4 89.9435378446 227307.2 3551.08430764 374777.4 622.487461721 0.14768679684 0.000245300755313 
2.6 6692.8 78.5249005093 228718.0 753.098931084 370197.0 370.741419321 0.143333986382 0.00014354477629 
2.8 6774.6 59.2405266688 237351.4 3557.63925096 364721.6 388.381564959 0.13797515762 0.0001469257857 
3.0 6756.2 55.9192274625 241148.4 539.85872226 359133.4 288.764679281 0.13267331634 0.000106677261547 
3.2 6741.2 107.248123527 245952.2 241.825887779 347852.4 63.7890272696 0.125877044108 2.30832795727e-05 
3.4 6817.0 63.4350061086 253021.2 2782.88536595 343785.8 441.866676725 0.120963979886 0.00015547457689 
3.6 6882.4 97.3336529675 260400.8 742.916253692 337375.2 658.336509697 0.114617059493 0.000223657799679 
3.8 6944.4 67.2594974706 268068.4 826.61541239 331026.4 742.965302016 0.110926122392 0.00024896582274 
4.0 6982.8 83.2908158202 275116.8 745.560567627 329101.2 240.592102946 0.107582987501 7.86494160583e-05 
4.2 7135.8 47.7300743766 280647.4 252.537997141 324616.8 608.897495479 0.102654782181 0.00019255392749 
4.4 7147.0 70.2367425213 290346.8 658.134758237 319052.6 477.965940209 0.0990937676258 0.000148450273755 
4.6 7212.4 62.4326837482 296243.0 2143.01945861 315776.0 469.446482573 0.0961817687277 0.000142988045377 
4.8 7346.2 61.9270538618 304799.6 521.181964385 314199.0 458.384118399 0.0930148634791 0.000135699146699 
5.0 7447.8 41.3975844706 312193.2 1200.11806086 314395.2 693.455521285 0.0910094122653 0.000200737732078 
5.2 7486.8 86.6127011471 323074.0 609.480434469 311822.8 293.228511574 0.0877259840951 8.24948007092e-05 
5.4 7497.4 91.9665156456 327319.2 1112.28960258 310179.0 548.35973594 0.0860061894266 0.00015204875676 
5.6 7694.8 56.6158988271 335966.8 860.330029698 309420.4 577.0873764 0.0835708264675 0.000155864542188 
5.8 7820.2 92.3891768553 349919.8 1142.26816466 310198.6 373.028470763 0.0821216279217 9.8755137129e-05 
6.0 7941.4 144.275569658 353879.6 2016.39307676 310332.8 633.20656977 0.0807890088577 0.000164842811246 
