#[blockSize]  [Memory]  [MemoryErr]
128 805704552.0 0.0
256 780656904.0 0.0
384 772304072.0 0.0
512 768198696.0 0.0
640 765960888.0 0.0
768 763947576.0 0.0
896 762691080.0 0.0
1024 761848872.0 0.0
1152 761304600.0 0.0
1280 760827288.0 0.0
1408 760475992.0 0.0
1536 759839560.0 0.0
1664 759499720.0 0.0
1792 759280344.0 0.0
1920 759112744.0 0.0
2048 758878088.0 0.0
2176 758751224.0 0.0
2304 758638568.0 0.0
2432 758540216.0 0.0
2560 758417032.0 0.0
2688 758339848.0 0.0
2816 758254408.0 0.0
2944 758191640.0 0.0
3072 757930824.0 0.0
3200 757840072.0 0.0
3328 757786936.0 0.0
3456 757748392.0 0.0
3584 757685624.0 0.0
3712 757651944.0 0.0
3840 757608808.0 0.0
3968 757581688.0 0.0
4096 757496808.0 0.0
4224 757470072.0 0.0
4352 757441304.0 0.0
4480 757410328.0 0.0
4608 757388664.0 0.0
4736 757368792.0 0.0
4864 757347960.0 0.0
4992 757305256.0 0.0
5120 757289864.0 0.0
