#[alphabetSize] [Walltime] [BranchMissRate] [BranchMis] [TLB] [L1CM] [L2CM] [L3CM] [WalltimeErr] [BranchMissRateErr] [BranchMissErr] [TLBErr] [L1CMErr] [L2CMErr] [L3CMErr]
0   1.292   1.270   1.270   44.195   0.555   2.784   3.164
0   0.37   0.18   0.18   9.93   0.17   0.29   0.56
256.0 6290014.0 0.0866874713553 419307469.2 924295.0 185069609.2 57007824.6 25253497.6 81239.2601862 5.33442437966e-05 258026.212012 56182.6814134 787385.538363 1587163.56002 799133.454445
512.0 6768011.4 0.0868033727276 472459347.8 1086662.8 214936799.0 68989694.8 28034902.0 7839.21423613 6.69501643264e-05 364400.944097 252884.227544 381293.07161 159889.757192 122778.053749
1024.0 7441737.2 0.0868089049076 525190348.6 1325058.0 245321082.8 82167294.4 31852866.8 3705.34761662 5.82433620464e-05 352369.974594 585604.208334 275545.337353 109080.089662 269374.437476
2048.0 8107186.8 0.0868503670569 578353296.6 1018457.6 275987241.0 94359384.4 33208402.0 13313.4133775 1.77339521608e-05 118093.797891 118162.745863 163569.786375 25547.9566666 147300.983455
4096.0 8783369.8 0.0868971393284 631998932.0 1298665.6 306740888.4 104377927.8 33781993.0 4431.52178828 2.44106485462e-05 177537.533799 15801.6322271 176709.361145 81399.418623 17034.1764579
8192.0 9456707.2 0.0869558739956 686381762.2 1265430.0 336151018.4 112700704.4 33486459.6 4395.69286461 1.91464625256e-05 151131.626701 150367.393982 64606.3784671 66407.4396453 70096.3536016
16384.0 10154389.0 0.0869831820405 741759730.2 1544366.0 364156559.6 116837199.6 33531760.0 24170.8394641 2.63385857667e-05 224605.513547 202935.358807 379270.495841 220331.500525 122585.090444
32768.0 10904758.8 0.0872020618009 801745194.6 1686448.2 387392257.2 117689635.8 33697907.8 30658.5556633 2.31011752191e-05 212394.705343 166755.839573 263346.286205 224109.185137 158549.899294
65536.0 11723203.0 0.0873614166241 865106117.2 2286024.8 408467657.2 118902461.2 34874857.2 37155.4771682 2.09433076523e-05 207393.426808 168037.231933 214895.35117 166703.173951 230648.956397
131072.0 12680608.2 0.0874503339159 935657321.2 3023366.6 424458895.6 119829472.6 35368706.2 17689.781699 4.89019411202e-05 523216.518235 457814.798051 221951.908009 73205.4746221 115670.491347
262144.0 13809289.0 0.0874234730121 1015870867.8 3844351.4 433928818.2 123705846.2 38793787.2 12554.7257875 5.43560014971e-05 631623.024212 133588.321564 275892.642908 91351.3439822 84357.6228456
524288.0 15282586.6 0.0870107225027 1111539229.8 5365069.6 437333855.2 124925438.4 39720874.4 67412.5792285 7.64972368671e-05 977232.199704 625565.543664 842277.476023 240300.631552 149534.463907
1048576.0 16848189.6 0.0875940369745 1237902638.2 6526996.2 424751601.4 115832461.0 33094354.0 78062.6455396 0.0001203092159 1700242.40127 84839.0638242 836589.188581 185955.341838 73331.0813939
2097152.0 19071176.4 0.0865576242405 1373841981.2 11334450.4 428480172.8 116417314.0 33775292.8 107585.465536 0.000126909676514 2014309.46085 303983.603541 1181162.46211 155556.693113 294937.527835
4194304.0 21973485.8 0.0838141864674 1528484367.0 17920819.2 436020634.6 117464339.0 33880976.6 121678.143113 0.000109626767406 1999217.6414 377389.648923 2420994.5636 174019.516941 87575.9644916
8388608.0 26253446.8 0.0802855431388 1734092233.2 33245162.2 437014628.0 116618173.2 34033755.2 177569.259696 0.00101997170774 22030429.7303 692968.474344 1360794.9575 227521.023612 119423.602969
16777216.0 31958083.2 0.0736975702701 1932605388.0 37407302.6 449896313.4 115797068.2 33179038.4 247524.720357 0.000628068036518 16470117.9015 639707.707672 880930.668121 182256.338434 93935.0537608
