#[alphabetSize] [Walltime] [BlockSize] [BranchMissRate] [BranchMis] [BranchExe] [TLB] [L1CM] [L2CM] [L2CH] [L3CM] [Cycles] [WalltimeErr] [BranchMissRateErr] [BranchMisErr] [BranchExeErr] [TLBErr] [L1CMErr] [L2CMErr] [L2CHErr] [L3CMErr] [CyclesErr]
0.00   2.32   0.00   0.00   0.17   0.00   0.00   2.27   0.00   0.00   0.00   2.13
0.00   0.61   0.00   0.00   0.09   0.00   0.00   0.32   0.00   0.00   0.00   0.36
65536.0 1234004.6 64.0 nan 290512.4 0 0 74281354.6 0 0 0 3921264460.4 696.592736109 nan 330.245121084 nan nan 14620.5331585 nan nan nan 1866649.83871
65536.0 991094.4 128.0 nan 301442.4 0 0 62580957.6 0 0 0 3149325345.0 1373.11319271 nan 302.636151178 nan nan 10940.9649593 nan nan nan 3956489.72645
65536.0 311117.2 256.0 nan 317173.6 0 0 16056247.4 0 0 0 987049679.8 719.246383376 nan 344.286857141 nan nan 2199.56364764 nan nan nan 504972.623517
65536.0 174464.4 512.0 nan 320479.6 0 0 9132684.8 0 0 0 554832585.8 82.1208865028 nan 447.00407157 nan nan 1692.78390824 nan nan nan 201069.28403
65536.0 94475.0 1024.0 nan 321620.0 0 0 4843758.8 0 0 0 299259442.0 310.010967548 nan 164.032923525 nan nan 822.888668047 nan nan nan 147465.488181
65536.0 149592.2 2048.0 nan 320089.8 0 0 9337595.0 0 0 0 474450234.2 378.701676785 nan 230.662870874 nan nan 1705.66127939 nan nan nan 262535.454004
65536.0 19459.0 4096.0 nan 320074.8 0 0 644694.6 0 0 0 60620915.4 452.004424757 nan 263.136010458 nan nan 535.606049256 nan nan nan 152259.92224
65536.0 13501.8 8192.0 nan 320250.4 0 0 402576.6 0 0 0 42294642.2 51.5961238854 nan 327.397984111 nan nan 609.714228143 nan nan nan 61154.2818694
65536.0 13035.2 16384.0 nan 319220.2 0 0 531830.8 0 0 0 40650715.6 129.232194131 nan 138.677179089 nan nan 712.479445318 nan nan nan 46540.9345957
65536.0 11438.0 32768.0 nan 317677.0 0 0 563353.8 0 0 0 35805043.6 28.8305393637 nan 106.924272268 nan nan 732.863807266 nan nan nan 84786.4860331
65536.0 14934.8 65536.0 nan 316452.6 0 0 884958.2 0 0 0 46161477.6 285.565684213 nan 92.6490151054 nan nan 20089.2657248 nan nan nan 981778.628724
65536.0 21996.8 131072.0 nan 320927.2 0 0 1479740.4 0 0 0 68983523.2 75.2207418203 nan 542.70043302 nan nan 4753.71608744 nan nan nan 160304.580324
65536.0 35398.0 262144.0 nan 320452.0 0 0 2505721.8 0 0 0 111375165.4 253.090497649 nan 267.272145949 nan nan 9930.79081242 nan nan nan 626082.160809
65536.0 58841.6 524288.0 nan 320306.2 0 0 4349858.0 0 0 0 185389887.8 336.356715408 nan 327.461387037 nan nan 25971.3380633 nan nan nan 1139809.91037
65536.0 99866.0 1048576.0 nan 320154.8 0 0 7548220.4 0 0 0 315009704.2 643.600807955 nan 418.214490423 nan nan 44838.1459545 nan nan nan 2173784.03994
