#[alphabetSize] [Walltime] [BlockSize] [BranchMissRate] [BranchMis] [BranchExe] [TLB] [L1CM] [L2CM] [L2CH] [L3CM] [Cycles] [WalltimeErr] [BranchMissRateErr] [BranchMisErr] [BranchExeErr] [TLBErr] [L1CMErr] [L2CMErr] [L2CHErr] [L3CMErr] [CyclesErr]
0.00   2.21   0.00   0.00   0.74   0.00   0.00   0.25   0.00   0.00   0.00   1.17
0.00   0.99   0.00   0.00   0.39   0.00   0.00   0.07   0.00   0.00   0.00   0.44
65536.0 206220.2 64.0 nan 35139.8 0 0 44075553.6 0 0 0 654541910.2 392.979592345 nan 66.7454867388 nan nan 1270.06938393 nan nan nan 943650.766339
65536.0 89451.6 128.0 nan 41656.2 0 0 22094107.6 0 0 0 281898578.6 908.982420072 nan 198.874231614 nan nan 347.44300252 nan nan nan 952879.980763
65536.0 43747.0 256.0 nan 45338.0 0 0 11113318.2 0 0 0 138595014.6 64.1778778085 nan 152.846328055 nan nan 805.281913369 nan nan nan 77323.2335604
65536.0 22809.4 512.0 nan 46387.6 0 0 5626810.4 0 0 0 71525682.6 298.24996228 nan 240.470871417 nan nan 602.583969252 nan nan nan 57968.5339287
65536.0 12151.0 1024.0 nan 47365.8 0 0 2885917.4 0 0 0 38068500.6 17.8549712965 nan 260.244807825 nan nan 900.173672132 nan nan nan 23130.3540276
65536.0 7017.8 2048.0 nan 45724.6 0 0 1502730.0 0 0 0 21577242.0 154.828162813 nan 339.813831384 nan nan 698.978397377 nan nan nan 79485.421408
65536.0 4612.2 4096.0 nan 45008.6 0 0 819306.8 0 0 0 14024981.8 100.354172808 nan 77.5334766407 nan nan 767.04482268 nan nan nan 73296.8415838
65536.0 3731.6 8192.0 nan 42691.2 0 0 492694.0 0 0 0 11254252.2 51.2429507347 nan 65.5573031782 nan nan 984.808610848 nan nan nan 131267.227192
65536.0 3597.2 16384.0 nan 40165.0 0 0 404112.0 0 0 0 10784518.2 51.1132076865 nan 121.617432961 nan nan 1014.51801364 nan nan nan 67926.9745547
65536.0 4059.4 32768.0 nan 37694.4 0 0 532858.2 0 0 0 12345668.2 17.1883681599 nan 174.349763407 nan nan 1169.36964216 nan nan nan 111020.381441
65536.0 5643.2 65536.0 nan 35307.8 0 0 825231.0 0 0 0 17173073.4 114.904133955 nan 147.008026992 nan nan 969.222987759 nan nan nan 83615.3492479
65536.0 8757.0 131072.0 nan 32598.6 0 0 1386545.2 0 0 0 27123273.8 23.9415956026 nan 104.845791523 nan nan 709.407189138 nan nan nan 46428.927002
65536.0 14507.2 262144.0 nan 31422.0 0 0 2388268.6 0 0 0 45232081.2 80.1907725365 nan 110.248809517 nan nan 835.840319678 nan nan nan 63316.3681252
65536.0 25738.2 524288.0 nan 30107.0 0 0 4276822.0 0 0 0 80847189.8 140.629157716 nan 136.718689286 nan nan 479.060747714 nan nan nan 402982.756483
65536.0 47885.2 1048576.0 nan 28921.4 0 0 7754771.0 0 0 0 150814674.0 489.892396348 nan 130.680679521 nan nan 505.32880385 nan nan nan 1639439.89354
