#[alphabetSize] [Walltime] [BlockSize] [BranchMissRate] [BranchMis] [BranchExe] [TLB] [L1CM] [L2CM] [L2CH] [L3CM] [Cycles] [WalltimeErr] [BranchMissRateErr] [BranchMisErr] [BranchExeErr] [TLBErr] [L1CMErr] [L2CMErr] [L2CHErr] [L3CMErr] [CyclesErr]
0.00   1.46   0.00   0.00   0.16   0.00   0.00   0.26   0.00   0.00   0.00   0.66
0.00   0.57   0.00   0.00   0.09   0.00   0.00   0.07   0.00   0.00   0.00   0.20
65536.0 865171.0 64.0 nan 305476.4 0 0 32211631.8 0 0 0 2749349379.8 741.56456226 nan 500.189004277 nan nan 8868.72553189 nan nan nan 1707181.19796
65536.0 431110.0 128.0 nan 313627.0 0 0 16161870.8 0 0 0 1372245195.4 332.545936676 nan 339.203773564 nan nan 1216.83464776 nan nan nan 466709.24896
65536.0 217644.2 256.0 nan 317534.8 0 0 8165842.0 0 0 0 693126612.8 101.971368531 nan 232.944113469 nan nan 757.711026711 nan nan nan 55204.9411281
65536.0 111430.2 512.0 nan 319185.4 0 0 4160891.6 0 0 0 354196548.6 163.1237567 nan 344.009651027 nan nan 370.375269153 nan nan nan 50374.3034914
65536.0 58506.0 1024.0 nan 319587.2 0 0 2161813.4 0 0 0 184992315.4 528.779349067 nan 192.866171217 nan nan 703.741031914 nan nan nan 141882.341605
65536.0 32399.6 2048.0 nan 319454.0 0 0 1154397.0 0 0 0 101351931.0 473.916279526 nan 268.997397757 nan nan 526.292314213 nan nan nan 124225.052163
65536.0 19413.2 4096.0 nan 318871.0 0 0 650300.2 0 0 0 60868707.2 183.60980366 nan 187.041171938 nan nan 759.349037005 nan nan nan 159540.762965
65536.0 13571.6 8192.0 nan 317922.4 0 0 413778.6 0 0 0 42371904.8 100.408366185 nan 270.038960152 nan nan 1088.13024956 nan nan nan 85562.4631515
65536.0 11285.4 16384.0 nan 317019.4 0 0 412175.0 0 0 0 35237577.6 24.2454119371 nan 281.960706482 nan nan 826.724379706 nan nan nan 51614.151182
65536.0 11613.0 32768.0 nan 315597.2 0 0 583394.8 0 0 0 36219797.6 44.4792086261 nan 120.637307662 nan nan 691.352703039 nan nan nan 14778.131365
65536.0 14908.6 65536.0 nan 314156.4 0 0 912019.6 0 0 0 46817422.4 36.9518605756 nan 206.810638024 nan nan 379.155166126 nan nan nan 64758.1315963
65536.0 22684.0 131072.0 nan 312516.6 0 0 1541599.2 0 0 0 70968192.0 183.477519059 nan 285.202103779 nan nan 932.683311741 nan nan nan 467929.986631
65536.0 36772.4 262144.0 nan 312128.2 0 0 2651961.0 0 0 0 115642834.4 319.937868968 nan 215.134748472 nan nan 1178.6936837 nan nan nan 702882.332644
65536.0 62609.2 524288.0 nan 310900.0 0 0 4649428.8 0 0 0 195919296.0 787.464386496 nan 414.510313503 nan nan 1184.17252121 nan nan nan 714885.013653
65536.0 106748.2 1048576.0 nan 309756.8 0 0 8141908.4 0 0 0 337075481.6 334.691738769 nan 217.095739249 nan nan 2649.27707875 nan nan nan 897588.860154
