#[alphabetSize] [Amount] [Walltime] [BlockSize] [WalltimeErr]
0.00   18.36   0.00
0.00   4.13   0.00
65536.0 100000.0 1128.0 64.0 26.8477187113 
65536.0 100000.0 1141.6 128.0 209.632631048 
65536.0 100000.0 1014.4 256.0 44.1660503102 
65536.0 100000.0 973.4 512.0 15.8568597143 
65536.0 100000.0 947.0 1024.0 20.3273215156 
65536.0 100000.0 988.6 2048.0 56.6766265757 
65536.0 100000.0 1012.2 4096.0 18.3237550737 
65536.0 100000.0 1114.2 8192.0 82.7415252458 
65536.0 100000.0 1167.0 16384.0 22.1990990808 
65536.0 100000.0 1355.4 32768.0 47.3184953269 
65536.0 100000.0 1525.4 65536.0 31.4553652021 
65536.0 100000.0 1713.0 131072.0 16.9587735406 
65536.0 100000.0 1712.2 262144.0 23.8025208749 
