#[alphabetSize] [Amount] [Walltime] [BlockSize] [WalltimeErr]
0.00   17.52   0.00
0.00   3.82   0.00
65536.0 100000.0 2050.0 64.0 358.302107167 
65536.0 100000.0 1427.0 128.0 33.674916481 
65536.0 100000.0 1297.4 256.0 43.6421814304 
65536.0 100000.0 1329.0 512.0 202.09997526 
65536.0 100000.0 1126.0 1024.0 15.2839785396 
65536.0 100000.0 1327.2 2048.0 232.503247289 
65536.0 100000.0 1290.0 4096.0 96.554647739 
65536.0 100000.0 1271.6 8192.0 56.0735231638 
65536.0 100000.0 1389.2 16384.0 44.950639595 
65536.0 100000.0 1791.8 32768.0 231.095131926 
65536.0 100000.0 1802.6 65536.0 80.2062341717 
65536.0 100000.0 2004.8 131072.0 54.4294038182 
65536.0 100000.0 2005.0 262144.0 45.7689851319 
65536.0 1000000.0 3858.8 64.0 67.4430129813 
65536.0 1000000.0 2646.2 128.0 106.347355397 
65536.0 1000000.0 2042.2 256.0 97.884421641 
65536.0 1000000.0 1741.2 512.0 86.082286215 
65536.0 1000000.0 1572.0 1024.0 138.640542411 
65536.0 1000000.0 1450.6 2048.0 32.2341433886 
65536.0 1000000.0 1509.6 4096.0 25.0407667614 
65536.0 1000000.0 1788.8 8192.0 299.654734653 
65536.0 1000000.0 1874.0 16384.0 44.6945186796 
65536.0 1000000.0 2195.6 32768.0 16.094719631 
65536.0 1000000.0 2980.6 65536.0 45.8283754894 
65536.0 1000000.0 3550.2 131072.0 70.1410008483 
65536.0 1000000.0 5823.2 262144.0 32.2142825467 
65536.0 10000000.0 22012.6 64.0 223.030580863 
65536.0 10000000.0 11541.8 128.0 45.0617354304 
65536.0 10000000.0 6485.2 256.0 32.3567612718 
65536.0 10000000.0 3944.4 512.0 23.7284639199 
65536.0 10000000.0 2737.8 1024.0 20.874865269 
65536.0 10000000.0 2279.2 2048.0 98.2026476221 
65536.0 10000000.0 2118.0 4096.0 52.5204721989 
65536.0 10000000.0 2262.4 8192.0 28.2672955905 
65536.0 10000000.0 2605.4 16384.0 25.0647162362 
65536.0 10000000.0 3454.0 32768.0 132.815661727 
65536.0 10000000.0 4994.6 65536.0 84.2937720119 
65536.0 10000000.0 6121.8 131072.0 13.7608139294 
65536.0 10000000.0 8948.4 262144.0 28.8 
65536.0 100000000.0 212997.2 64.0 3036.62993465 
65536.0 100000000.0 93558.4 128.0 535.348708787 
65536.0 100000000.0 48339.4 256.0 1441.41827378 
65536.0 100000000.0 25127.0 512.0 1138.54450945 
65536.0 100000000.0 13313.8 1024.0 408.697149488 
65536.0 100000000.0 7497.8 2048.0 31.3011181909 
65536.0 100000000.0 5030.2 4096.0 183.300190944 
65536.0 100000000.0 3985.0 8192.0 72.9465557789 
65536.0 100000000.0 3899.0 16384.0 17.9220534538 
65536.0 100000000.0 4640.2 32768.0 439.679610626 
65536.0 100000000.0 6121.4 65536.0 21.5647861107 
65536.0 100000000.0 8142.4 131072.0 177.284629903 
65536.0 100000000.0 11351.8 262144.0 260.611127928 
