#[alphabetSize] [Walltime] [BlockSize] [BranchMissRate] [BranchMis] [TLB] [L1CM] [L2CM] [L2CH] [L3CM] [Cycles]
0.00   0.03   0.00   0.18   0.18   14.79   0.01   1.54   0.19   0.86   0.02
0.00   0.03   0.00   0.18   0.18   14.79   0.01   1.54   0.19   0.86   0.02
65536.0 1411530.0 6552.0 1.58870131892e-05 22342.0 831699.8 176018742.8 30876302.6 143302265.8 11275721.4 4483374135.0
65536.0 1411530.0 8192.0 1.58870131892e-05 22342.0 831699.8 176018742.8 30876302.6 143302265.8 11275721.4 4483374135.0
65536.0 1411530.0 10920.0 1.58870131892e-05 22342.0 831699.8 176018742.8 30876302.6 143302265.8 11275721.4 4483374135.0
65536.0 1411530.0 16384.0 1.58870131892e-05 22342.0 831699.8 176018742.8 30876302.6 143302265.8 11275721.4 4483374135.0
65536.0 1411530.0 21840.0 1.58870131892e-05 22342.0 831699.8 176018742.8 30876302.6 143302265.8 11275721.4 4483374135.0
65536.0 1411530.0 24576.0 1.58870131892e-05 22342.0 831699.8 176018742.8 30876302.6 143302265.8 11275721.4 4483374135.0
65536.0 1411530.0 32768.0 1.58870131892e-05 22342.0 831699.8 176018742.8 30876302.6 143302265.8 11275721.4 4483374135.0
65536.0 1411530.0 49152.0 1.58870131892e-05 22342.0 831699.8 176018742.8 30876302.6 143302265.8 11275721.4 4483374135.0
65536.0 1411530.0 65536.0 1.58870131892e-05 22342.0 831699.8 176018742.8 30876302.6 143302265.8 11275721.4 4483374135.0
65536.0 1411530.0 98304.0 1.58870131892e-05 22342.0 831699.8 176018742.8 30876302.6 143302265.8 11275721.4 4483374135.0
