#[alphabetSize] [Walltime] [BlockSize] [BranchMissRate] [BranchMis] [TLB] [L1CM] [L2CM] [L2CH] [L3CM] [Cycles]
0.00   2.30   0.00   1.22   0.49   7.81   1.67   1.74   1.55   1.34   0.69
0.00   1.13   0.00   0.54   0.34   4.75   0.55   0.80   0.81   0.69   0.39
65536.0 11191.0 6552.0 0.00272398612644 39601.4 5761.8 569376.6 120385.6 447829.2 104109.0 34624827.0
65536.0 9461.6 8192.0 0.00318311420069 38062.4 4771.6 483905.8 129354.8 354397.4 107762.2 29464868.6
65536.0 8099.8 10920.0 0.00411095038135 38943.2 5511.0 431706.8 146919.6 286981.0 123491.2 24891148.0
65536.0 6584.0 16384.0 0.00505510655151 36543.8 4629.0 408216.4 144922.0 258073.2 107826.6 19938913.0
65536.0 6033.4 21840.0 0.00624393319695 39222.4 5484.2 452054.6 172038.8 272486.4 128475.0 18513467.6
65536.0 5820.2 24576.0 0.00588379958275 35655.0 4855.2 466211.2 163862.0 290575.0 118113.0 17879554.6
65536.0 5575.8 32768.0 0.00605904034394 35016.0 4067.2 519874.0 150568.0 362532.0 88577.4 16951324.6
65536.0 5908.4 49152.0 0.00555424241912 34359.6 5098.4 688149.6 191884.0 485864.8 120913.2 18162707.8
65536.0 6445.8 65536.0 0.00478460954162 33666.2 5122.2 833806.2 199965.6 631752.6 108366.4 19900259.2
65536.0 7789.2 98304.0 0.00377170076782 33312.2 5712.2 1120053.8 238833.4 861728.4 126790.0 24160208.8
