#[alphabetSize] [Walltime] [BlockSize] [BranchMissRate] [BranchMis] [TLB] [L1CM] [L2CM] [L2CH] [L3CM] [Cycles]
0.00   11.79   0.00   3.74   0.95   21.80   4.16   5.68   4.67   3.51   10.89
0.00   2.96   0.00   1.27   0.49   15.60   1.05   1.15   1.55   1.11   2.23
65536.0 12382.6 6552.0 0.00422024511866 61871.0 1357.8 1066221.6 126606.2 938982.0 98695.4 36218932.4
65536.0 10731.4 8192.0 0.0049979000697 60619.4 1607.4 903985.2 132732.4 771364.0 103427.8 31368119.2
65536.0 9051.4 10920.0 0.00620340310815 59436.0 1517.4 756014.6 141934.8 611216.6 115491.2 26420938.6
65536.0 7728.0 16384.0 0.00766212475907 57441.8 1699.4 633903.0 165220.6 468496.8 127886.8 22478496.6
65536.0 7469.8 32768.0 0.00859915257419 54282.4 1692.6 661506.4 207451.2 442563.2 156222.0 21547840.2
65536.0 7948.0 65536.0 0.00669671823919 51235.2 1638.2 958487.4 222391.8 726352.8 136966.2 22649302.6
65536.0 9034.4 98304.0 0.00506868317506 49425.2 1437.6 1179255.2 254002.4 985484.4 150101.0 25937464.4
65536.0 11029.6 131072.0 0.00409282488521 48189.2 1677.0 1525842.0 298308.4 1206820.8 155787.8 32068359.0
