#[alphabetSize] [Walltime] [BlockSize] [BranchMissRate] [BranchMis] [TLB] [L1CM] [L2CM] [L2CH] [L3CM] [Cycles]
0.00   1.06   0.00   2.27   0.15   25.70   2.79   2.73   4.80   1.26   1.01
0.00   0.55   0.00   0.65   0.11   14.43   1.39   1.41   1.66   0.79   0.50
65536.0 13409.2 8192.0 0.0171433829735 339438.4 1391.8 492506.6 175893.0 312652.8 166914.8 42019092.8
65536.0 11730.2 16384.0 0.0241928978152 338522.8 1741.2 551527.4 151274.4 395629.2 137756.8 36666867.6
65536.0 11768.0 24576.0 0.0265738233595 335743.4 1566.4 657412.6 157074.0 491159.4 140052.6 36738235.8
65536.0 12868.8 32768.0 0.0244757143049 336133.6 1333.2 812739.4 141108.8 666459.8 121626.2 40241387.4
65536.0 13628.0 40960.0 0.0233258473554 335114.0 1705.4 924438.6 169633.0 749301.2 140619.6 42699043.0
65536.0 14777.2 49152.0 0.0216494882864 333346.4 1448.8 1077767.6 156297.2 876079.2 127071.8 46292704.4
65536.0 15597.0 57344.0 0.0198894347098 333394.0 1563.2 1146447.4 171164.2 985596.0 133777.0 48862117.4
65536.0 16988.6 65536.0 0.0181296943833 333284.8 1416.8 1303620.8 159818.6 1145634.8 117690.6 52976463.0
