#[alphabetSize] [Walltime] [BlockSize] [BranchMissRate] [BranchMis] [TLB] [L1CM] [L2CM] [L2CH] [L3CM] [Cycles]
0.00   1.33   0.00   0.53   0.53   7.54   0.13   1.53   0.59   1.28   0.96
0.00   0.67   0.00   0.43   0.43   4.68   0.07   0.55   0.33   0.66   0.48
65536.0 3997.2 8192.0 0.0181760229194 43852.0 4581.0 495440.6 127330.0 367611.4 109501.2 11959909.2
65536.0 3845.0 16384.0 0.0170371467016 41543.6 4778.4 410907.8 160113.0 245329.4 126694.8 11425925.2
65536.0 4060.2 24576.0 0.01272647601 39324.2 4536.0 497556.0 177091.4 312705.0 126053.4 12402857.2
65536.0 4240.6 32768.0 0.0112647537562 38776.2 4800.0 537917.8 185174.6 343442.4 130564.6 13014716.0
65536.0 4714.4 40960.0 0.00913610911283 37591.8 5409.6 632890.6 214936.2 409123.4 138171.8 14501212.2
65536.0 5217.4 49152.0 0.00747328174967 37040.2 4740.8 735891.8 220848.2 503775.4 139344.6 16118948.2
65536.0 5442.8 57344.0 0.00709403232218 36869.8 6195.6 763731.2 221807.4 531656.8 137699.4 16598575.2
65536.0 5789.2 65536.0 0.0062751584261 36179.2 5442.4 831447.2 233944.4 587190.8 141962.8 17840837.2
