#[alphabetSize] [Walltime] [BlockSize] [BranchMissRate] [BranchMis] [TLB] [L1CM] [L2CM] [L2CH] [L3CM] [Cycles]
0.00   8.45   0.00   0.09   0.09   6.60   0.16   1.68   0.66   2.25   0.89
0.00   2.10   0.00   0.07   0.07   3.99   0.09   0.95   0.36   1.13   0.34
65536.0 13483.6 8192.0 0.0165079004488 318570.8 5824.8 410621.6 183668.8 225394.6 176131.2 42269025.0
65536.0 11222.6 16384.0 0.0245088543871 317354.2 6098.2 414597.8 173843.6 236728.0 162889.8 35079789.6
65536.0 11567.6 24576.0 0.0270083231957 316680.8 6142.2 486786.2 156880.0 323489.8 143894.2 34498222.8
65536.0 11946.6 32768.0 0.0263484468574 316139.6 6220.8 585324.4 148895.2 433167.8 130837.0 36031690.6
65536.0 12339.2 40960.0 0.0253217769311 315948.8 6463.2 664488.8 156460.0 502741.2 136347.6 38531109.2
65536.0 13079.6 49152.0 0.0237412755548 315238.2 6587.0 744810.8 153626.0 585598.8 130383.4 40850829.8
65536.0 14370.8 57344.0 0.0218622227527 314877.2 7598.8 837017.4 159814.8 671397.8 133216.8 44151175.0
65536.0 15330.4 65536.0 0.0202696844634 315012.2 7242.4 923218.0 155042.4 762067.2 127466.4 47182692.4
