#[alphabetSize] [Walltime] [BlockSize] [BranchMissRate] [BranchMis] [TLB] [L1CM] [L2CM] [L2CH] [L3CM] [Cycles]
0.00   2.09   0.00   0.38   0.38   35.52   0.42   1.71   1.08   3.71   0.57
0.00   1.18   0.00   0.27   0.27   20.74   0.23   0.91   0.63   1.26   0.32
65536.0 9844.2 8192.0 0.00493325319631 59081.4 1299.2 484262.4 121154.4 363969.0 103822.0 30732979.4
65536.0 7084.0 16384.0 0.00759502390198 55791.8 1218.0 397021.6 159797.4 234427.8 127924.0 21942108.0
65536.0 6260.4 24576.0 0.00887001929049 53646.4 1520.8 440921.6 171259.0 264057.6 137738.0 19304390.0
65536.0 6237.6 32768.0 0.00891703566065 52586.8 1568.4 511646.2 185826.0 318464.4 141179.6 19028594.2
65536.0 6119.0 40960.0 0.00855725711784 50984.6 1376.6 602289.8 180228.8 418784.4 129012.0 18887135.8
65536.0 6476.4 49152.0 0.00798202368936 50800.6 1374.0 700976.6 187546.8 504752.4 131159.0 19663207.6
65536.0 6542.2 57344.0 0.00772375372037 50204.6 1339.6 749745.2 192314.8 546914.4 132635.4 19911056.2
65536.0 6770.6 65536.0 0.00723012424767 49718.0 1537.0 818683.0 195622.2 614573.2 120131.2 20632335.4
