#[alphabetSize] [Walltime] [BlockSize] [BranchMissRate] [BranchMis] [TLB] [L1CM] [L2CM] [L2CH] [L3CM] [Cycles]
0.00   2.59   0.00   2.24   0.46   23.82   2.29   1.69   5.30   3.21   1.05
0.00   1.88   0.00   0.82   0.19   15.37   1.16   1.09   2.07   1.27   0.68
65536.0 13794.0 8192.0 0.0170897271431 338386.8 1853.6 489565.6 176574.0 312979.6 166029.8 42194284.4
65536.0 11905.0 16384.0 0.0240350741588 336141.4 1515.8 551238.2 151623.2 396165.4 138049.8 36737580.6
65536.0 11939.4 24576.0 0.0263939904358 334716.6 1491.6 658350.2 156170.2 497878.8 138328.0 36828008.2
65536.0 13157.0 32768.0 0.024435475724 335249.4 1553.8 814591.8 142747.0 667113.8 119573.8 40149859.8
65536.0 13638.4 40960.0 0.0229883983357 333821.2 1650.4 919066.2 168729.0 773706.0 140181.4 42665658.2
65536.0 14572.2 49152.0 0.021794775921 333236.8 1577.4 1007750.6 159067.0 865510.4 127636.6 45065009.2
65536.0 15709.0 57344.0 0.0197402911853 332120.6 1374.0 1170091.6 168676.4 992948.2 134018.4 49254462.2
65536.0 17409.8 65536.0 0.0180587932296 332580.6 1774.2 1313630.0 156941.0 1147898.0 118031.2 53141031.2
