#[blockSize]  [Memory]  [MemoryErr]
128 781206968.0 0.0
256 768521464.0 0.0
384 764633656.0 0.0
512 762032632.0 0.0
640 760830712.0 0.0
768 760217368.0 0.0
896 759286392.0 0.0
1024 758980488.0 0.0
1152 758638824.0 0.0
1280 758417384.0 0.0
1408 758255048.0 0.0
1536 758136744.0 0.0
1664 757919352.0 0.0
1792 757688952.0 0.0
1920 757611544.0 0.0
2048 757550024.0 0.0
2176 757444568.0 0.0
2304 757389656.0 0.0
2432 757350280.0 0.0
2560 757288616.0 0.0
2688 757253752.0 0.0
2816 757215576.0 0.0
2944 757187048.0 0.0
3072 757161800.0 0.0
3200 757114248.0 0.0
3328 757058504.0 0.0
3456 757035256.0 0.0
3584 756946168.0 0.0
3712 756931208.0 0.0
3840 756912792.0 0.0
3968 756898488.0 0.0
4096 756883416.0 0.0
4224 756860936.0 0.0
4352 756835480.0 0.0
4480 756822920.0 0.0
4608 756810168.0 0.0
4736 756800616.0 0.0
4864 756792536.0 0.0
4992 756778904.0 0.0
5120 756763752.0 0.0
