#[skew]   [L1-DataCache-Misses]   [L2-DataCache-Misses]   [L3-TotalCache-Misses]   [Branch-Misses]   [TLB]   [Conditional Branches]   [Wall time (micro seconds)]   [L2-DataCache-Hits]   [BM Rate]   [L2 CM Rate]  [WalltimeErr]  [BranchMissRateErr]  [BranchMisErr]  [BranchExeErr]  [TLBErr]  [L1CMErr]  [L2CMErr]  [L2CHErr]   [L3CMErr]   [CyclesErr]
0   0.034   4.679   5.952   0.776   87.613   0.000   0.349   1.279   0.776   4.458
0   0.01   2.13   2.37   0.45   44.76   0.00   0.13   0.52   0.45   2.09
2.0   175966743.4   30999237.6   11143906.8   22423.2   603999.8   1406305911.0   1409189.0   143653475.0   1.594475272030624e-05   0.21579143314301943   2707.3664694680697   8.058096655274633e-08   113.32148957722008   0.0   188321.97369547718   20161.60010118245   824333.1802511895   492472.9693613651   169587.43836428452   7116375.297542968
2.2   177291104.0   30504987.2   11360334.8   23290.8   255840.2   1417052566.0   1419408.0   144317097.0   1.6436087523375615e-05   0.2113997927122603   3443.312010259889   1.275386479541751e-07   180.72896834763375   0.0   224148.69665951663   31201.390039547918   241571.64497630924   1845249.789923088   676132.0414399542   7434721.945808718
2.4   180791561.8   31230398.4   12252678.8   23251.0   343537.0   1444658137.0   1446529.2   145427407.8   1.6094465122581454e-05   0.21474129965042815   5047.506251605837   5.6710161729464024e-08   81.92679659305617   0.0   203866.10320403927   25299.427878116137   457590.1168253528   1519165.8322620871   595957.4908214175   12007107.146593977
2.6   185594996.6   34220973.0   12242053.8   23530.4   713084.6   1482805528.0   1485815.2   150106841.0   1.5868837521625428e-05   0.22796312208352543   3778.2957216184122   6.682946884234361e-08   99.09510583273021   0.0   294067.0773286938   62467.32451642219   1601135.6396906541   1497939.8789225153   577821.7476441675   11035019.376581345
2.8   191242665.6   33708448.4   12706054.6   23591.6   766658.6   1527978698.0   1528347.8   154466488.6   1.543974404281911e-05   0.21827733170138047   2735.791322451331   8.439593181708486e-08   128.95518601436703   0.0   287174.5285429054   14753.18968359046   740256.0872483521   1422506.27315518   513594.22060751426   9094605.978406793
3.0   197468598.6   35850875.4   13044555.2   23779.6   687068.8   1578026932.0   1577701.4   159659895.0   1.5069197817721402e-05   0.2245685931826606   2027.3533091200459   7.374361579558509e-08   116.36941178849364   0.0   431460.9755282162   34324.675413468955   1485418.278161084   644427.2815460252   267953.21346488834   6289601.26563389
3.2   204130450.0   35912979.4   12942282.4   23850.8   258453.4   1631748347.0   1630711.6   166427408.2   1.4616714669176865e-05   0.21578968124506726   1739.8089090471976   3.474405986008087e-08   56.6935622447558   0.0   127719.5965897168   19887.902564121738   374153.88196280954   428159.2312807935   137586.33758277018   5368400.172152504
3.4   211167435.8   37510955.0   13853046.2   24253.6   300427.4   1688073389.0   1686390.6   170859225.8   1.4367621785903293e-05   0.21953285985279192   1151.1775883850416   7.583867447387179e-08   128.02124823637678   0.0   143735.9844250562   5804.090881438711   673639.6143437529   1115289.09106893   405951.750412977   3547618.8438170976
3.6   218486459.6   39387908.6   14440041.8   24774.4   217650.0   1746508467.0   1745897.2   176494964.6   1.4185101571568848e-05   0.22315691626124273   3976.3488981727946   9.765220514508733e-08   170.5504031071167   0.0   85416.08939304117   20999.056717862353   642544.378427078   792859.4584773773   293403.6037361505   5279797.745985375
3.8   225997006.4   40465457.8   14808451.0   24836.8   372545.6   1806531445.0   1803684.8   182867533.6   1.3748335280153399e-05   0.22128322193821912   889.0330477546939   3.301553835251291e-08   59.643608207418175   0.0   127513.89679027145   9853.969730012366   491847.0813533003   331532.59278544545   125411.97865116394   3418953.1501272726
4.0   233686154.0   42291516.0   15327526.0   25265.0   414868.0   1867892581.0   1864160.0   189040610.2   1.3525938406197888e-05   0.2237178446242364   1586.9476361871552   8.967988272213926e-08   167.5123876016338   0.0   212141.51856249166   25436.870522924   780534.2857215179   848958.3424233252   317425.4238771684   4962934.233882347
