#[alphabetSize] [Walltime] [BranchMissRate] [BranchMis] [TLB] [L1CM] [L2CM] [L3CM] [WalltimeErr] [BranchMissRateErr] [BranchMissErr] [TLBErr] [L1CMErr] [L2CMErr] [L3CMErr]
0   47.096   14.725   14.725   10.322   35.482   75.564   64.227
0   33.18   7.66   7.66   5.45   9.04   22.94   44.07
256.0 336.4 0.0375387797311 2105.4 147.6 344.6 163.2 93.0 80.7034076108 0.00245682467355 137.793468641 8.45221864365 23.8126017058 9.84682690007 37.2505033523
512.0 227.4 0.0345006704778 2444.2 219.8 379.8 168.8 131.6 21.859551688 0.00171426273058 121.446943148 7.49399759808 14.9586095611 2.4819347292 44.7732062734
1024.0 398.4 0.0285281409573 2542.0 206.2 463.0 210.2 139.8 130.639350886 0.000455205264292 40.5610650748 12.8124939024 101.762468524 44.1606159377 62.8534804128
2048.0 441.4 0.024781099666 2663.2 215.6 426.8 258.6 115.6 150.35238608 0.000873073667044 93.8283539235 8.47584804017 13.1362094989 117.980676384 53.0908655043
4096.0 379.4 0.0237012623394 2962.8 233.6 459.4 192.8 133.2 137.733946433 0.00250751099994 313.453920058 24.113066997 16.2677595261 10.0677703589 42.0257064188
8192.0 498.0 0.0216339283883 3164.2 248.6 488.6 217.4 121.8 195.246510852 0.00143278710122 209.560874211 2.8 37.0329582939 17.2812036618 52.6702952337
16384.0 447.8 0.0225297284146 3704.0 269.0 506.0 248.6 181.0 172.469591523 0.00212783909252 349.827386006 14.0712472795 23.0390972045 63.1461796152 42.0666138404
32768.0 563.8 0.0189386591502 3534.2 258.4 601.8 268.6 110.8 171.637291985 0.000728933817151 136.02852642 5.38887743412 36.1961323901 90.6081674023 49.0607786322
65536.0 522.0 0.0188102138325 3842.4 284.6 767.4 294.0 154.2 201.524192096 0.00152474201272 311.462100423 9.97196068985 73.9150864168 57.2328576956 99.0381744581
131072.0 540.4 0.0168452755552 3747.4 273.0 635.2 261.6 146.4 87.9990909044 0.00105489231615 234.67134465 25.1475644944 20.9418241803 5.38887743412 65.3164604062
262144.0 541.2 0.0157859249546 3816.2 307.0 743.6 456.8 136.0 178.186868203 0.000937611894824 226.664862738 12.6332893579 59.8752035487 345.178446604 71.3218059222
524288.0 777.8 0.0143112728491 3759.6 310.6 781.6 302.8 161.6 251.938405171 0.000874044506842 229.613240036 10.7256701422 36.6092884389 16.004999219 74.179781612
1048576.0 732.4 0.0155948615829 4393.4 307.8 832.2 453.6 150.2 263.976211049 0.00229167315682 645.612453411 23.7857099957 68.3268614821 141.725932701 69.4935968273
2097152.0 802.8 0.0153800149514 4629.0 328.6 895.0 326.2 204.6 270.930544605 0.00226471654785 681.62306299 6.71118469423 37.5606176733 25.4196774173 61.5811659519
4194304.0 562.0 0.0138626647108 4422.8 344.2 900.2 429.0 158.4 264.678673111 0.000745626636452 237.8877046 26.2861180093 61.8300897622 79.0215160573 88.7549435243
8388608.0 868.0 0.0148163526684 5067.0 305.8 1120.0 383.0 152.2 344.520536398 0.00192422127157 658.058659999 22.3553125677 174.947992272 32.8024389337 97.7064992721
16777216.0 884.2 0.0140973225197 5075.6 346.6 1272.0 612.6 195.2 375.087936356 0.00126023739113 453.735870303 33.218067373 451.330034454 460.13111175 74.3865579255
