#[skew]   [L1-DataCache-Misses]   [L2-DataCache-Misses]   [L3-TotalCache-Misses]   [Branch-Misses]   [TLB]   [Conditional Branches]   [Wall time (micro seconds)]   [L2-DataCache-Hits]   [BM Rate]   [L2 CM Rate]  [WalltimeErr]  [BranchMissRateErr]  [BranchMisErr]  [BranchExeErr]  [TLBErr]  [L1CMErr]  [L2CMErr]  [L2CHErr]   [L3CMErr]   [CyclesErr]
0   0.015   3.680   2.243   0.594   52.246   0.000   0.435   0.510   0.594   3.568
0   0.01   1.10   1.11   0.39   19.17   0.00   0.09   0.24   0.39   1.11
2.0   176040324.6   30920820.8   11407831.2   22435.2   816187.8   1406305876.0   1413252.6   143109348.0   1.5953286111420615e-05   0.21606682221326196   6150.474212611577   5.97096236842739e-08   83.96999464094303   0.0   122592.78187136468   25893.857500187183   572178.8512891402   438652.1085703339   169126.87671023788   5486690.040096109
2.2   177316965.4   31283665.6   11248206.6   23067.2   595188.8   1417052525.0   1418045.0   144644306.2   1.6278295682794115e-05   0.2162799351396958   2499.966159770968   6.575335841235674e-08   93.17596256545998   0.0   12927.855327160805   23212.494037479042   439112.29198809725   670658.8577735778   252337.52637180226   8154906.329023735
2.4   180798877.8   32282923.4   11629974.4   23241.8   684974.8   1444658109.0   1448150.8   147076541.6   1.6088097145758657e-05   0.21949063130557606   1098.3626723446132   7.281447025475834e-08   105.19201490607546   0.0   99649.85624756315   15554.275494538471   1187996.2880160192   511821.7033032499   195694.1784219449   2825844.3054273888
2.6   185580491.6   32621400.2   12131784.6   23637.0   637766.6   1482805528.0   1487089.8   150462408.6   1.5940728270605693e-05   0.2168043808580166   1003.525266248937   4.029939874180231e-08   59.75617122942199   0.0   81568.86919554543   8169.02938175644   515496.650982099   363881.4547484387   142092.05400809716   2996871.89219522
2.8   191191731.4   33001247.2   12130972.0   23691.0   384326.6   1527978698.0   1528631.6   155927371.0   1.5504797305754062e-05   0.21164655450208966   1830.8658716574516   4.309703259113643e-08   65.85134774626864   0.0   41209.80343850235   16916.82989924531   79195.00108314918   443052.13842752186   157773.7206330636   6945519.349052694
3.0   197479403.8   35337601.0   12992458.6   23841.2   631773.0   1578026899.0   1581006.8   159870859.2   1.510823422281853e-05   0.22105056357455655   1450.7349034196427   8.475655362205277e-08   133.74812148213522   0.0   267665.868392666   29265.761636424228   1025384.7710146665   815620.8759470051   278190.3614524414   4776752.068339306
3.2   204161314.2   35914154.0   13219147.2   23906.8   313457.4   1631748347.0   1632905.2   165792328.8   1.465103368663011e-05   0.21662371906313668   2966.409101927784   6.785703628750429e-08   110.72560679445382   0.0   163768.51325404405   15746.834379010912   575029.7253307867   272593.4786809105   98134.0839186875   4773330.600932142
3.4   211187532.2   37068185.2   13708103.6   24198.4   224434.2   1688073363.0   1687606.2   171259015.0   1.43349220065858e-05   0.2164440108130919   996.7437785108066   3.3407088753430894e-08   56.393616660044074   0.0   103078.75773679077   4023.3778544899305   237761.43940126203   196634.11471563118   87001.63127114341   3118643.1447657743
3.6   218533542.2   39148634.0   14306647.6   24723.6   459981.2   1746508418.0   1747098.6   176994649.2   1.4156015364822592e-05   0.22118825792710953   832.4404122818642   4.1533462267964267e-08   72.53854147968512   0.0   32131.749030514973   17968.348476139927   401731.5136889313   409163.9187344847   142800.94362657412   2455117.691186196
3.8   225981399.4   40164128.2   14563218.0   24885.2   73902.6   1806531411.0   1803606.4   183459086.4   1.377512721255418e-05   0.21893039642436918   393.4527163459416   2.5253878385999435e-08   45.62192455388089   0.0   30557.453281319107   2964.8816907256182   176026.7295184456   644297.249736362   238525.39133601688   557952.8361618391
4.0   233685110.6   42325551.2   15290084.4   25224.4   367849.4   1867892531.0   1864948.2   189039121.6   1.3504203042396555e-05   0.22389851243124084   693.644404576293   7.029506004252154e-08   131.30361761962237   0.0   24285.359364028358   22719.922100218566   191155.84232913205   133603.3680482644   57656.020652140054   1922762.4572007225
4.2   241518689.6   43925356.4   15956246.6   25531.6   563954.2   1930278218.0   1927351.6   194972875.0   1.3226901574040349e-05   0.2252934302957908   637.3791963972467   6.875232471393936e-08   132.71111483217973   0.0   35688.858011429846   7268.111573166719   233693.22109261106   571277.8206806212   213756.25343984677   1577477.1671215529
4.4   249391567.8   45647214.4   16356235.2   25866.8   366824.2   1993470524.0   1990986.8   201604294.2   1.2975762464797796e-05   0.2264205824089684   1957.0312618862276   7.706069702843584e-08   153.6182280850811   0.0   48291.94048865711   6428.164758311659   260973.02542186234   335789.1774524009   138103.1270976874   823134.2496087987
4.6   257408944.0   47394480.4   17099376.6   26036.8   537174.8   2057492777.0   2052266.6   207505640.4   1.2654625226905474e-05   0.22840112630027903   514.6344722227612   7.399543138298144e-08   152.24506560148345   0.0   15063.769082138771   10196.133365153675   192739.28011445925   214267.75021323204   73417.45620926947   999458.463434354
4.8   265501803.6   48960861.6   17596823.8   26339.0   504673.0   2122047314.0   2117082.6   214160199.6   1.2412070092043197e-05   0.2286176762829501   1279.1471533799386   4.266766671882137e-08   90.54280755532159   0.0   81078.3028164749   6422.117364234323   322635.36862197856   77818.89131721166   39279.8951444629   1986052.6448094575
5.0   273626901.6   50569203.0   18245042.8   26646.2   464497.0   2187072098.0   2180163.0   220339925.2   1.2183503243613692e-05   0.22950540587057427   527.7177275779164   2.0698840958517138e-08   45.269857521313234   0.0   87639.8660701852   6673.3854257041085   158033.62853139834   155142.24378730636   57036.652553949905   505935.55184090394
5.2   281829514.0   52497504.8   18908420.8   27227.6   442855.6   2252715270.0   2244823.8   226655896.2   1.208656964446288e-05   0.2316154079350933   308.2423721683961   2.9277253855228947e-08   65.95331682334103   0.0   136295.6982484774   8598.381824506283   717670.4193651568   273634.51223221095   99489.32776815812   825660.4784042895
5.4   290082181.0   53827328.6   19681072.0   27270.8   490100.4   2318535308.0   2311179.6   232708563.2   1.1762080959433033e-05   0.23130988778883857   683.4271285221271   4.013647372985737e-08   93.0578314812891   0.0   81052.4843582231   15425.264613613603   309185.5965420123   1035891.1352371735   397632.81898102927   1660946.5707637197
5.6   298415327.4   56055318.4   20368966.0   27892.2   897784.4   2384892949.0   2376365.8   239066916.2   1.1695367715224019e-05   0.23447612936734402   1086.4110455992243   5.4112511629166805e-08   129.05254743708082   0.0   124394.92153878308   44866.43111102108   361048.2157953976   703418.5989660495   259663.15185254914   4510644.888701996
5.8   306766235.6   58047592.6   21070463.4   28329.8   1018978.2   2451386141.0   2445700.4   245285053.6   1.1556645249060336e-05   0.23665313875740956   3602.6260200026313   5.7636916930140076e-08   141.29033937251336   0.0   144859.0174154167   25036.09430082895   629261.4407607064   434093.02548352466   159011.38350017587   1917737.3201127416
