#[skew]   [L1-DataCache-Misses]   [L2-DataCache-Misses]   [L3-TotalCache-Misses]   [Branch-Misses]   [TLB]   [Conditional Branches]   [Wall time (micro seconds)]   [L2-DataCache-Hits]   [BM Rate]   [L2 CM Rate]  [WalltimeErr]  [BranchMissRateErr]  [BranchMisErr]  [BranchExeErr]  [TLBErr]  [L1CMErr]   [L2CMErr]  [L2CHErr]   [L3CMErr]   [CyclesErr]
0   0.032   8.869   6.579   0.407   135.643   0.000   0.230   0.435   0.407   8.930
0   0.02   3.47   3.91   0.15   50.21   0.00   0.12   0.26   0.15   3.43
2.0   128125535.4   8228653.0   4922168.4   307345.8   610778.6   2047589849.0   1673715.0   119110741.2   0.00015010125204034452   0.06907866735014215   1266.0011058446987   7.046103128538325e-08   144.2752924100312   0.0   40272.18456254887   21871.421651095297   483622.6716972644   429809.971674646   323832.33053393546   3930859.5157699543
2.2   129468274.4   8229834.2   4546527.0   308041.8   453851.8   2069172179.0   1662540.0   120706578.4   0.0001488719996945213   0.068184290767068   1154.689915085431   7.919117894903921e-08   163.86018430357024   0.0   460506.61801038205   12875.33388460276   729926.7738096473   303642.7285278539   201098.27649286308   3683795.845980643
2.4   132229490.0   8343755.8   4606171.0   305553.2   524216.8   2113574706.0   1674268.4   123370496.2   0.00014456702151695793   0.06763700323368126   2973.5815845542224   2.158161585648428e-07   456.14357388874834   0.0   257671.25790619332   29313.611943941676   271318.7244672951   367076.5571405507   150730.71030284438   6512350.6436517555
2.6   136114266.8   8757529.2   5013432.4   300158.2   804024.4   2174730542.0   1700768.8   126797301.2   0.00013802086934593664   0.06906659609288882   2531.8001026937336   1.0992056519368934e-07   239.04761032062214   0.0   451286.47521130077   40846.300128163384   210744.42744272028   219187.53853209811   237333.58646900358   8600693.537669752
2.8   140545921.0   9399995.6   5412755.4   294466.8   1274852.6   2244853193.0   1737348.2   130533448.8   0.00013117419032933618   0.07200974089791706   2147.472691328111   1.0868847578691427e-07   243.9896719125627   0.0   121336.56689160115   31629.971463787315   258487.46689973192   567833.5579038631   314409.91390069114   6479244.951494376
3.0   145346261.4   9804980.0   5556940.8   287222.6   1220124.8   2321845677.0   1780780.0   134788287.4   0.00012370443171361555   0.07273715870906636   470.8341533916162   5.161162087825984e-08   119.834218819167   0.0   146019.14237852514   25536.35871145297   522426.7107252461   523676.36392474314   271812.28136962466   1799897.7618419996
3.2   150481736.4   9822912.0   5708443.2   277812.6   918925.8   2404030725.0   1831872.6   139536102.6   0.00011556116862857482   0.07039429645409918   4181.714796587639   1.9174938335769875e-07   460.9714090917136   0.0   260045.61389525494   5432.782808101204   158912.0214823284   575476.7626629594   280434.0021455316   1644186.722658543
3.4   155746454.8   10144503.2   5362010.2   271956.0   308951.8   2489873311.0   1876367.4   144722556.8   0.00010922483437150269   0.07009363730564505   4176.936992582005   1.1822273955574658e-07   294.35964397315064   0.0   362316.4046175111   50581.525474821334   795021.0819618307   572431.5501568376   282845.7118185814   14642080.998538991
3.6   161270355.2   10103387.6   5350944.6   263148.4   116624.8   2578708888.0   1932123.0   150089439.6   0.00010204657114440443   0.06731451772971773   1295.656281580883   1.988670697947359e-07   512.8202804102037   0.0   158192.90710319474   14136.616121264664   368489.6455009828   153154.22063606343   102016.44208381313   1361335.2951546654
3.8   166974297.0   10669281.8   5572934.6   256826.8   146789.4   2669743070.0   1986923.4   155413891.6   9.619906982285004e-05   0.06865116035009074   864.1987271455565   7.977342646327617e-08   212.9745524704771   0.0   111399.42641252691   25837.76790669039   316193.90944001434   94712.05603638853   95923.22317061703   1709019.0548264347
