#[skew]   [L1-Cache-Misses]   [L2-Cache-Misses]   [L3-Cache-Misses]   [Branch-Misses]   [TLB]   [Conditional Branches]   [Wall time (micro seconds)]
2   19616657   437454   41430   15841   645   156274928   149628
3   21867843   487087   41763   17995   935   174277124   165453
4   25805384   626968   108534   19433   1163   205692722   196829
5   30125985   898687   261615   21215   1947   240153914   233481
6   34639167   1570791   657402   22873   3787   276181982   277020
7   39204124   2108824   915746   24088   4465   312633382   315948
8   43873151   2639414   1221990   25798   2198   349864320   357791
9   48478726   3838976   1852260   26914   5326   386634871   398069
10   53149442   5174411   1959993   28941   2741   423943988   458145
11   57851047   5298028   2647594   29351   5608   461476317   480055
12   62589086   7671411   2782614   31201   6567   499217050   543651
13   67219917   7183117   3286757   31738   3949   536255308   556427
14   71880859   7733561   3448577   33364   3192   573512480   597306
15   76591628   8516572   3445827   34334   4514   611123947   632309
16   81362554   9543508   3878555   35166   4117   649238483   668958
