#[skew]   [L1-Cache-Misses]   [L2-Cache-Misses]   [L3-Cache-Misses]   [Branch-Misses]   [TLB]   [Conditional Branches]   [Wall time (micro seconds)]
2   32098933   1340778   545363   231023   60154   512703788   434252
3   35789026   1768394   874423   221528   4830   571804095   454784
4   42240978   2030569   1027855   195031   32656   674855848   517078
5   49316619   3359660   1233716   186034   40387   787908773   601918
6   56703889   3301695   1561312   175824   31827   906096011   672851
7   64189347   3376950   1980781   173388   4454   1025666629   761524
8   71825478   5475155   2262429   168245   24296   1147758319   846158
9   79362487   4412101   2588031   167515   17090   1268381873   926822
10   87014762   4876454   2878462   165014   15101   1390730894   996183
11   94708183   5538005   2788296   163735   16783   1513828385   1081473
12   102459180   5851089   3143403   163410   7463   1637588257   1163150
13   110047172   6273037   3467293   163343   4514   1759039008   1245102
14   117694497   7103329   3826678   165445   11855   1881221230   1328836
15   125406960   7673047   4057479   167989   5917   2004578113   1414210
16   133221633   8339142   4354749   167902   22499   2129540733   1497985
